car_make_value,car_type_value,alimentation_value,carosserie_value,puissance_value,id,name,year,details
FIAT,DUCATO,DIES,FGN,7,FI28AUE,MAXI 3.5 LH2 2.2 H3-POWER 180 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ANS,MAXI 3.5 LH2 2.2 H3-POWER 180 EVOLUZIONE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AUG,MAXI 3.5 LH2 2.2 H3-POWER 180 EVOLUZIONE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ANP,MAXI 3.5 LH2 2.2 H3-POWER 180 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AUD,MAXI 3.5 LH2 2.2 H3-POWER 180 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ANR,MAXI 3.5 LH2 2.2 H3-POWER 180 PRO LOUNGE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AUF,MAXI 3.5 LH2 2.2 H3-POWER 180 PRO LOUNGE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AY2,MAXI 3.5 LH2 2.2 H3-PW 140 PK PRO LOUNGE CONNECT,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AY3,MAXI 3.5 LH2 2.2 H3-PW 180 PK PRO LOUNGE CONNECT,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AX1,MAXI 3.5 LH3 2.2 H3-POWER 140,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AXF,MAXI 3.5 LH3 2.2 H3-POWER 140 BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AOQ,MAXI 3.5 LH3 2.2 H3-POWER 140 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AV6,MAXI 3.5 LH3 2.2 H3-POWER 140 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AOS,MAXI 3.5 LH3 2.2 H3-POWER 140 EVOLUZIONE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AV8,MAXI 3.5 LH3 2.2 H3-POWER 140 EVOLUZIONE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AOP,MAXI 3.5 LH3 2.2 H3-POWER 140 PACK,A partir de 2022,A partir de 2022
